nifti_value,original_label,source_atlas,hemi,main_label,secondary_label,extra
1,Yeo17_RH_VisCent_ExStr_1,Yeo17,RH,VisCent,ExStr,1
2,Yeo17_RH_VisCent_ExStr_2,Yeo17,RH,VisCent,ExStr,2
3,Yeo17_RH_VisCent_ExStr_3,Yeo17,RH,VisCent,ExStr,3
4,Yeo17_RH_VisPeri_StriCal_1,Yeo17,RH,VisPeri,StriCal,1
5,Yeo17_RH_VisPeri_ExStrInf_1,Yeo17,RH,VisPeri,ExStrInf,1
6,Yeo17_RH_VisPeri_ExStrSup_1,Yeo17,RH,VisPeri,ExStrSup,1
7,Yeo17_RH_SomMotA_1,Yeo17,RH,SomMotA,1,
8,Yeo17_RH_SomMotA_2,Yeo17,RH,SomMotA,2,
9,Yeo17_RH_SomMotA_3,Yeo17,RH,SomMotA,3,
10,Yeo17_RH_SomMotA_4,Yeo17,RH,SomMotA,4,
11,Yeo17_RH_SomMotB_Aud_1,Yeo17,RH,SomMotB,Aud,1
12,Yeo17_RH_SomMotB_S2_1,Yeo17,RH,SomMotB,S2,1
13,Yeo17_RH_SomMotB_S2_2,Yeo17,RH,SomMotB,S2,2
14,Yeo17_RH_SomMotB_Cent_1,Yeo17,RH,SomMotB,Cent,1
15,Yeo17_RH_DorsAttnA_TempOcc_1,Yeo17,RH,DorsAttnA,TempOcc,1
16,Yeo17_RH_DorsAttnA_ParOcc_1,Yeo17,RH,DorsAttnA,ParOcc,1
17,Yeo17_RH_DorsAttnA_SPL_1,Yeo17,RH,DorsAttnA,SPL,1
18,Yeo17_RH_DorsAttnB_PostC_1,Yeo17,RH,DorsAttnB,PostC,1
19,Yeo17_RH_DorsAttnB_PostC_2,Yeo17,RH,DorsAttnB,PostC,2
20,Yeo17_RH_DorsAttnB_FEF_1,Yeo17,RH,DorsAttnB,FEF,1
21,Yeo17_RH_SalVentAttnA_ParOper_1,Yeo17,RH,SalVentAttnA,ParOper,1
22,Yeo17_RH_SalVentAttnA_Ins_1,Yeo17,RH,SalVentAttnA,Ins,1
23,Yeo17_RH_SalVentAttnA_ParMed_1,Yeo17,RH,SalVentAttnA,ParMed,1
24,Yeo17_RH_SalVentAttnA_FrMed_1,Yeo17,RH,SalVentAttnA,FrMed,1
25,Yeo17_RH_SalVentAttnB_IPL_1,Yeo17,RH,SalVentAttnB,IPL,1
26,Yeo17_RH_SalVentAttnB_PFCl_1,Yeo17,RH,SalVentAttnB,PFCl,1
27,Yeo17_RH_SalVentAttnB_PFCmp_1,Yeo17,RH,SalVentAttnB,PFCmp,1
28,Yeo17_RH_LimbicB_OFC_1,Yeo17,RH,LimbicB,OFC,1
29,Yeo17_RH_LimbicA_TempPole_1,Yeo17,RH,LimbicA,TempPole,1
30,Yeo17_RH_ContA_IPS_1,Yeo17,RH,ContA,IPS,1
31,Yeo17_RH_ContA_PFCl_1,Yeo17,RH,ContA,PFCl,1
32,Yeo17_RH_ContA_PFCl_2,Yeo17,RH,ContA,PFCl,2
33,Yeo17_RH_ContB_Temp_1,Yeo17,RH,ContB,Temp,1
34,Yeo17_RH_ContB_IPL_1,Yeo17,RH,ContB,IPL,1
35,Yeo17_RH_ContB_PFCld_1,Yeo17,RH,ContB,PFCld,1
36,Yeo17_RH_ContB_PFClv_1,Yeo17,RH,ContB,PFClv,1
37,Yeo17_RH_ContC_Cingp_1,Yeo17,RH,ContC,Cingp,1
38,Yeo17_RH_ContC_pCun_1,Yeo17,RH,ContC,pCun,1
39,Yeo17_RH_DefaultA_IPL_1,Yeo17,RH,DefaultA,IPL,1
40,Yeo17_RH_DefaultA_PFCd_1,Yeo17,RH,DefaultA,PFCd,1
41,Yeo17_RH_DefaultA_pCunPCC_1,Yeo17,RH,DefaultA,pCunPCC,1
42,Yeo17_RH_DefaultA_PFCm_1,Yeo17,RH,DefaultA,PFCm,1
43,Yeo17_RH_DefaultB_PFCd_1,Yeo17,RH,DefaultB,PFCd,1
44,Yeo17_RH_DefaultB_PFCv_1,Yeo17,RH,DefaultB,PFCv,1
